Income,Firstdate,Lastdate,Amount,rfaf2,glast,gavr,class,rfaa2_G,rfaa2_E,rfaa2_F,pepstrfl_0
3,9409,9509,0.06,1,50,30.0,0,1,0,0,1
2,9201,9602,0.16,4,20,20.55,1,1,0,0,0
0,9510,9603,0.2,4,5,8.75,0,0,1,0,1
6,9409,9603,0.13,2,25,22.5,0,1,0,0,1
0,9310,9511,0.1,1,25,12.5,0,1,0,0,1
2,9601,9609,0.14,2,5,7.75,0,0,0,1,1
7,9510,9510,0.06,1,25,25.0,0,1,0,0,1
5,9209,9512,0.39,4,10,7.65,0,0,1,0,0
6,8702,9511,0.16,2,14,9.3,0,0,1,0,0
0,9103,9508,0.23,1,11,9.15,0,0,1,0,0
5,9201,9603,0.12,2,20,14.57,1,0,0,1,0
1,9509,9602,0.1,2,30,30.0,0,1,0,0,1
4,9301,9601,0.2,2,25,10.0,0,1,0,0,1
3,8910,9512,0.12,2,27,14.0,0,1,0,0,1
5,9309,9509,0.1,1,15,14.0,0,0,0,1,0
6,9507,9611,0.09,1,25,22.5,0,0,0,1,1
7,9101,9603,0.15,1,20,11.62,0,0,0,1,1
0,9112,9505,0.15,2,12,12.45,0,0,0,1,1
1,9502,9512,0.18,3,10,7.25,0,0,1,0,1
1,8608,9512,0.19,1,15,8.75,0,0,0,1,0
2,8801,9512,0.24,1,10,10.8,0,0,1,0,0
6,9403,9512,0.17,3,10,10.83,0,0,0,1,1
5,8711,9601,0.19,3,29,19.3,0,1,0,0,0
2,8609,9506,0.36,2,10,8.6,0,0,1,0,0
7,9101,9503,0.16,1,25,22.2,0,1,0,0,0
0,9501,9603,0.29,4,16,8.25,0,0,0,1,0
5,9506,9603,0.15,3,9,8.0,0,0,1,0,1
0,9408,9602,0.17,3,12,8.6,0,0,1,0,0
2,9501,9602,0.18,3,7,7.75,0,0,1,0,0
3,9602,9602,0.07,1,20,20.0,0,0,0,1,1
4,9310,9601,0.14,3,10,7.8,0,0,1,0,1
5,8809,9512,0.2,1,20,5.27,0,0,0,1,0
0,9310,9603,0.24,4,5,3.37,1,0,0,0,0
6,9003,9504,0.12,1,26,18.14,0,1,0,0,1
0,9601,9603,0.14,2,25,20.0,0,1,0,0,1
2,9205,9512,0.1,2,25,23.0,0,1,0,0,1
2,8612,9504,0.23,1,20,10.88,0,0,0,1,0
7,9502,9601,0.09,1,20,15.0,0,0,0,1,1
3,8702,9506,0.28,1,10,11.91,0,0,1,0,0
6,8608,9509,0.25,1,10,4.08,0,0,1,0,0
5,9004,9505,0.13,1,15,8.28,0,0,0,1,0
4,9309,9506,0.12,1,16,10.25,0,0,0,1,1
5,8802,9602,0.25,4,10,8.93,0,0,1,0,0
0,9602,9602,0.07,1,15,15.0,0,0,0,1,1
3,9309,9507,0.09,1,20,13.33,0,0,0,1,1
4,8704,9603,0.17,2,12,10.84,0,0,1,0,1
5,9109,9510,0.21,1,13,10.23,0,0,1,0,0
4,9301,9509,0.12,1,20,11.6,0,0,0,1,1
5,9103,9508,0.15,1,20,13.66,0,0,0,1,0
2,8610,9510,0.45,3,6,2.65,1,0,0,0,0
5,8812,9602,0.25,1,10,7.17,1,0,1,0,0
5,9303,9603,0.11,1,15,8.5,0,0,0,1,1
2,9310,9510,0.16,2,15,6.66,0,0,0,1,0
0,9402,9603,0.17,4,5,5.16,0,0,0,0,0
0,9003,9603,0.26,2,15,9.03,0,0,0,1,0
4,9111,9603,0.21,1,10,16.33,0,0,1,0,0
7,9406,9512,0.1,2,20,12.0,0,0,0,1,1
6,9201,9602,0.17,4,8,5.66,0,0,0,0,0
2,9205,9512,0.11,1,17,12.2,0,0,0,1,1
